graph,label,target_prompt,target_position,source_position
"[['open gift', 'is motivated by', '<extra_id_0>']]",see,summarize: open gift is motivated by <extra_id_0>,7,3
"[['water', 'is an antonym of', '<extra_id_0>']]",refine,summarize: water is an antonym of <extra_id_0>,9,6
"[['abandoned', 'is distinct from', '<extra_id_0>']]",restored,summarize: abandoned is distinct from <extra_id_0>,6,3
"[['guns', 'is capable of', '<extra_id_0>']]",break,summarize: guns is capable of <extra_id_0>,6,3
"[['stomach', 'is a part of', '<extra_id_0>']]",human body,summarize: stomach is a part of <extra_id_0>,8,5
"[['countries', 'is', '<extra_id_0>']]",temperate,summarize: countries is <extra_id_0>,4,1
"[['test', 'causes desire', '<extra_id_0>']]",commit to memory,summarize: test causes desire <extra_id_0>,5,2
"[['coloring', 'has prerequisite', '<extra_id_0>']]",crayons,summarize: coloring has prerequisite <extra_id_0>,5,2
"[['also', 'is distinct from', '<extra_id_0>']]",mere,summarize: also is distinct from <extra_id_0>,6,3
"[['step brother', 'is a form of', '<extra_id_0>']]",stepbrother,summarize: step brother is a form of <extra_id_0>,9,5
"[['bar', 'has context', '<extra_id_0>']]",architecture,summarize: bar has context <extra_id_0>,5,2
"[['get drunk', 'is motivated by', '<extra_id_0>']]",feel good,summarize: get drunk is motivated by <extra_id_0>,7,3
"[['tangled', 'is a', '<extra_id_0>']]",film,summarize: tangled is a <extra_id_0>,8,3
"[['avenge', 'is distinct from', '<extra_id_0>']]",forgive,summarize: avenge is distinct from <extra_id_0>,9,3
"[['getting', 'causes', '<extra_id_0>']]",gratitude,summarize: getting causes <extra_id_0>,4,1
"[['following recipe', 'causes', '<extra_id_0>']]",baking cake,summarize: following recipe causes <extra_id_0>,5,1
"[['shark', 'is in', '<extra_id_0>']]",fish tanks,summarize: shark is in <extra_id_0>,5,2
"[['fawn', 'is distinct from', '<extra_id_0>']]",calf,summarize: fawn is distinct from <extra_id_0>,10,3
"[['suprise', 'is a form of', '<extra_id_0>']]",surprise,summarize: suprise is a form of <extra_id_0>,11,5
"[['throw', 'is a manner of', '<extra_id_0>']]",shape,summarize: throw is a manner of <extra_id_0>,8,5
"[['greek mythology', 'is a', '<extra_id_0>']]",classical mythology,summarize: greek mythology is a <extra_id_0>,9,3
"[['employ', 'is an antonym of', '<extra_id_0>']]",make,summarize: employ is an antonym of <extra_id_0>,9,6
"[['clay', 'is an antonym of', '<extra_id_0>']]",soul,summarize: clay is an antonym of <extra_id_0>,9,6
"[['buying food', 'is used for', '<extra_id_0>']]",survival,summarize: buying food is used for <extra_id_0>,7,3
"[['fancy', 'is a synonym of', '<extra_id_0>']]",high end,summarize: fancy is a synonym of <extra_id_0>,8,5
"[['chili pepper', 'is a', '<extra_id_0>']]",hot food,summarize: chili pepper is a <extra_id_0>,7,3
"[['climb', 'has prerequisite', '<extra_id_0>']]",careful,summarize: climb has prerequisite <extra_id_0>,5,2
"[['nobel', 'is a form of', '<extra_id_0>']]",noble,summarize: nobel is a form of <extra_id_0>,9,5
"[['warp', 'is in', '<extra_id_0>']]",london,summarize: warp is in <extra_id_0>,6,2
"[['get fit', 'is motivated by', '<extra_id_0>']]",healthy,summarize: get fit is motivated by <extra_id_0>,7,3
"[['shoes', 'is in', '<extra_id_0>']]",bed,summarize: shoes is in <extra_id_0>,5,2
"[['examine thing', 'is motivated by', '<extra_id_0>']]",buy,summarize: examine thing is motivated by <extra_id_0>,7,3
"[['turn tables', 'is a manner of', '<extra_id_0>']]",change by reversal,summarize: turn tables is a manner of <extra_id_0>,9,5
"[['procreating', 'causes', '<extra_id_0>']]",offspring,summarize: procreating causes <extra_id_0>,6,1
"[['attending class', 'has subevent', '<extra_id_0>']]",swim,summarize: attending class has subevent <extra_id_0>,8,4
"[['boredom', 'causes desire', '<extra_id_0>']]",play chess,summarize: boredom causes desire <extra_id_0>,6,2
"[['shortsighted', 'is a form of', '<extra_id_0>']]",short sighted,summarize: shortsighted is a form of <extra_id_0>,9,5
"[['brownout', 'has context', '<extra_id_0>']]",philippines,summarize: brownout has context <extra_id_0>,6,2
"[['animals', 'is capable of', '<extra_id_0>']]",copulate,summarize: animals is capable of <extra_id_0>,6,3
"[['skullcap', 'is a synonym of', '<extra_id_0>']]",helmetflower,summarize: skullcap is a synonym of <extra_id_0>,9,5
"[['dancing', 'is used for', '<extra_id_0>']]",performing,summarize: dancing is used for <extra_id_0>,6,3
"[['esperanto', 'is a part of', '<extra_id_0>']]",international auxiliary language,summarize: esperanto is a part of <extra_id_0>,12,5
"[['gas', 'is distinct from', '<extra_id_0>']]",liquidity,summarize: gas is distinct from <extra_id_0>,6,3
"[['bean', 'is a manner of', '<extra_id_0>']]",hit,summarize: bean is a manner of <extra_id_0>,8,5
"[['prude', 'is a synonym of', '<extra_id_0>']]",antisexualist,summarize: prude is a synonym of <extra_id_0>,10,5
"[['watch tv show', 'is motivated by', '<extra_id_0>']]",bored,summarize: watch tv show is motivated by <extra_id_0>,10,3
"[['people', 'is a', '<extra_id_0>']]",alcoholics,summarize: people is a <extra_id_0>,6,3
"[['getting wet', 'has subevent', '<extra_id_0>']]",have shower,summarize: getting wet has subevent <extra_id_0>,9,4
"[['form', 'is capable of', '<extra_id_0>']]",change shape,summarize: form is capable of <extra_id_0>,6,3
"[['pluri', 'is an antonym of', '<extra_id_0>']]",mono,summarize: pluri is an antonym of <extra_id_0>,10,6
"[['give assistance', 'has subevent', '<extra_id_0>']]",thanks,summarize: give assistance has subevent <extra_id_0>,8,4
"[['heaviness', 'is a synonym of', '<extra_id_0>']]",thickness,summarize: heaviness is a synonym of <extra_id_0>,11,5
"[['raise', 'causes desire', '<extra_id_0>']]",buy house,summarize: raise causes desire <extra_id_0>,5,2
"[['getting in line', 'causes', '<extra_id_0>']]",wait turn,summarize: getting in line causes <extra_id_0>,6,1
"[['male', 'is a part of', '<extra_id_0>']]",maldives,summarize: male is a part of <extra_id_0>,8,5
"[['propontis', 'has context', '<extra_id_0>']]",historical,summarize: propontis has context <extra_id_0>,7,2
"[['bank up', 'is a synonym of', '<extra_id_0>']]",fortify,summarize: bank up is a synonym of <extra_id_0>,9,5
"[['ii samuel', 'is a part of', '<extra_id_0>']]",prophets,summarize: ii samuel is a part of <extra_id_0>,16,5
"[['high blood pressure', 'causes', '<extra_id_0>']]",stroke,summarize: high blood pressure causes <extra_id_0>,6,1
"[['dish', 'is used for', '<extra_id_0>']]",cooking,summarize: dish is used for <extra_id_0>,6,3
"[['fight inflation', 'has prerequisite', '<extra_id_0>']]",have money,summarize: fight inflation has prerequisite <extra_id_0>,6,2
"[['want', 'is distinct from', '<extra_id_0>']]",much,summarize: want is distinct from <extra_id_0>,6,3
"[['isle', 'is used for', '<extra_id_0>']]",walk,summarize: isle is used for <extra_id_0>,7,3
"[['writing letter', 'is used for', '<extra_id_0>']]",entertainment,summarize: writing letter is used for <extra_id_0>,7,3
"[['holiday season', 'is a synonym of', '<extra_id_0>']]",advent,summarize: holiday season is a synonym of <extra_id_0>,9,5
"[['pride', 'is a synonym of', '<extra_id_0>']]",company,summarize: pride is a synonym of <extra_id_0>,8,5
"[['disbandment', 'is a synonym of', '<extra_id_0>']]",dissolution,summarize: disbandment is a synonym of <extra_id_0>,10,5
"[['didot point', 'has context', '<extra_id_0>']]",typography,summarize: didot point has context <extra_id_0>,8,2
"[['breathing fresh air', 'has prerequisite', '<extra_id_0>']]",lungs,summarize: breathing fresh air has prerequisite <extra_id_0>,7,2
"[['bidet', 'is used for', '<extra_id_0>']]",amusement,summarize: bidet is used for <extra_id_0>,8,3
